0	90	1
-180	78.5	1
-180	67	1
-180	55.5	1
158	44	1
135	44	1
135	32.5	1
144	21	1
144	9.5	1
144	-2	1
144	-13.5	1
144	-25	1
162	-25	1
162	-13.5	1
162	-2	1
162	9.5	1
162	21	1
158	32.5	1
-180	44	1
-180	32.5	1
-180	21	1
-180	9.5	1
-180	-2	1
-180	-13.5	1
-180	-25	1
-162	-25	1
-162	-13.5	1
-162	-2	1
-162	9.5	1
-162	21	1
-158	32.5	1
-158	44	1
-108	78.5	1
-135	67	1
-135	44	1
-135	32.5	1
-144	21	1
-144	9.5	1
-144	-2	1
-144	-13.5	1
-144	-25	1
-126	-13.5	1
-126	-2	1
-126	9.5	1
-126	21	1
-108	-2	1
-108	9.5	1
-108	21	1
-113	32.5	1
-113	44	1
-120	55.5	1
-90	67	1
-90	55.5	1
-90	44	1
-90	32.5	1
-90	21	1
-90	9.5	1
-90	-2	1
-72	-2	1
-72	9.5	1
-72	21	1
-67.5	32.5	1
-67.5	44	1
-60	55.5	1
-36	78.5	1
-45	67	1
-45	44	1
-45	32.5	1
-54	21	1
-54	9.5	1
-54	-2	1
-36	-2	1
-36	9.5	1
-36	21	1
-30	55.5	1
-22.5	44	1
-22.5	32.5	1
-18	21	1
-18	9.5	1
-18	-2	1
0	-2	1
0	9.5	1
0	21	1
0	32.5	1
0	44	1
0	55.5	1
0	67	1
30	55.5	1
22.5	44	1
22.5	32.5	1
18	21	1
18	9.5	1
18	-2	1
36	-2	1
36	9.5	1
36	21	1
36	78.5	1
45	67	1
45	44	1
45	32.5	1
54	21	1
54	9.5	1
54	-2	1
72	-2	1
72	9.5	1
72	21	1
67.5	32.5	1
67.5	44	1
60	55.5	1
90	67	1
108	78.5	1
135	67	1
120	55.5	1
90	55.5	1
90	44	1
90	32.5	1
90	21	1
90	9.5	1
90	-2	1
108	-2	1
108	9.5	1
108	21	1
113	32.5	1
113	44	1
126	21	1
126	9.5	1
126	-2	1
126	-13.5	1
